epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,122.586,1.05575,1.96695,1.00421,1.16178,0.84899,0.80416,0.92206,0.67478,0.84899,0.80416,0.92206,0.56653,1.04332,2.07472,1.05051,1.14296,0.0016436,0.0016436,0.0016436
56,124.076,1.11676,2.09733,1.05252,1.1705,0.91752,0.79523,0.95316,0.64757,0.91752,0.79523,0.95316,0.55438,1.12081,2.04479,1.07479,1.22072,0.001637,0.001637,0.001637
57,125.514,1.0654,1.97969,0.9955,1.14657,0.89643,0.85714,0.97011,0.64214,0.89643,0.85714,0.97011,0.58498,1.12096,1.92379,0.97866,1.21509,0.0016304,0.0016304,0.0016304
58,126.905,1.07446,1.93652,0.97951,1.13813,0.73541,0.85714,0.86339,0.59038,0.79839,0.92857,0.92448,0.53897,1.22966,1.70582,0.99823,1.23258,0.0016238,0.0016238,0.0016238
59,128.253,1.08685,1.99639,0.99651,1.14684,0.74752,0.85714,0.86673,0.62933,0.81235,0.92857,0.93084,0.59519,1.2029,1.60791,0.99345,1.2735,0.0016172,0.0016172,0.0016172
60,129.66,1.07547,1.8679,1.03123,1.17354,1,0.71134,0.88929,0.64445,0.81149,0.92277,0.93448,0.61634,1.12945,1.56514,0.91081,1.26545,0.0016106,0.0016106,0.0016106
61,130.978,1.06579,1.92444,0.97306,1.11476,0.91566,0.77622,0.89385,0.67697,0.81123,0.92132,0.92941,0.6275,1.08691,1.48731,0.93775,1.20187,0.001604,0.001604,0.001604
62,132.48,1.08189,1.96065,1.00178,1.11271,1,0.70992,0.89906,0.6341,1,0.70992,0.92629,0.60263,1.11382,1.5776,0.97854,1.19913,0.0015974,0.0015974,0.0015974
63,133.867,1.10536,2.0541,1.08085,1.1619,1,0.77191,0.94364,0.61272,1,0.77191,0.94364,0.5918,1.17024,1.7534,1.01493,1.22008,0.0015908,0.0015908,0.0015908
64,135.31,1.04487,1.91147,0.98482,1.10137,0.79251,0.85714,0.91999,0.6371,0.79251,0.85714,0.91999,0.59977,1.05583,1.80087,0.91485,1.09651,0.0015842,0.0015842,0.0015842
65,136.743,0.98457,1.89279,0.92559,1.09962,1,0.83862,0.9407,0.70237,1,0.83862,0.9407,0.64977,0.99299,1.66894,0.84349,1.05621,0.0015776,0.0015776,0.0015776
66,138.18,1.15285,1.99326,1.09089,1.1751,0.91734,0.85714,0.94816,0.68387,0.91734,0.85714,0.95828,0.61517,1.00578,1.62503,0.81572,1.06992,0.001571,0.001571,0.001571
67,139.528,1.07013,1.94853,1.01082,1.13899,0.97937,0.85714,0.95753,0.71805,0.97937,0.85714,0.97331,0.67113,1.02675,1.61797,0.77543,1.08774,0.0015644,0.0015644,0.0015644
68,140.991,1.1058,1.96751,1.01476,1.18955,0.91938,0.85714,0.95854,0.68213,0.92724,0.91126,0.96667,0.5932,1.1516,1.84972,0.80479,1.11872,0.0015578,0.0015578,0.0015578
69,142.33,1.02891,1.92281,0.93723,1.11667,0.98497,0.85714,0.94773,0.654,0.98497,0.85714,0.9592,0.60409,1.15602,1.87238,0.79026,1.12556,0.0015512,0.0015512,0.0015512
70,143.717,1.0266,1.98003,1.00625,1.1493,0.97335,0.85714,0.95307,0.62916,0.97335,0.85714,0.97029,0.58371,1.17125,1.94078,0.79424,1.21766,0.0015446,0.0015446,0.0015446
71,145.077,1.02207,1.74185,0.94705,1.12746,0.85515,0.84421,0.93936,0.63432,0.76193,1,0.94806,0.60906,1.0896,1.85652,0.80578,1.20874,0.001538,0.001538,0.001538
72,146.46,0.98323,1.90122,0.92074,1.11046,0.99419,0.92857,0.98265,0.66968,0.99419,0.92857,0.98265,0.6075,1.14046,1.94418,0.79686,1.25768,0.0015314,0.0015314,0.0015314
73,147.828,0.97306,1.97385,0.9812,1.14915,1,0.91753,0.98625,0.67151,1,0.91753,0.98625,0.64635,1.13997,1.88199,0.75162,1.25048,0.0015248,0.0015248,0.0015248
74,149.278,1.05557,1.94155,0.96272,1.14971,0.9575,0.92857,0.99033,0.71456,0.9575,0.92857,0.99033,0.64705,1.05972,1.879,0.71848,1.22818,0.0015182,0.0015182,0.0015182
75,150.662,0.99464,1.8139,0.9669,1.09506,0.91252,0.92857,0.97265,0.72386,1,0.90401,0.98265,0.64938,1.02935,1.96679,0.71433,1.18005,0.0015116,0.0015116,0.0015116
76,152.186,1.00797,1.83096,0.95622,1.11479,0.92236,0.84912,0.95277,0.71979,1,0.91395,0.97658,0.65496,1.03036,1.94615,0.77008,1.06941,0.001505,0.001505,0.001505
77,153.706,0.98232,1.79577,0.91273,1.10625,0.92012,0.82423,0.91198,0.67052,1,0.8821,0.97944,0.62201,1.12218,1.79323,0.84262,1.14289,0.0014984,0.0014984,0.0014984
78,155.18,0.99117,1.68626,0.92447,1.11433,0.88088,0.78571,0.89813,0.66408,0.96096,0.85714,0.9775,0.60451,1.13601,1.77535,0.84814,1.17578,0.0014918,0.0014918,0.0014918
79,156.878,0.95934,1.70637,0.89168,1.12568,1,0.7847,0.90825,0.68709,1,0.92553,0.98625,0.60213,1.10477,1.79529,0.81857,1.16235,0.0014852,0.0014852,0.0014852
80,158.309,1.07808,1.89857,0.96276,1.16998,0.98715,0.85714,0.92695,0.65923,0.98761,1,0.995,0.60634,1.08381,1.82128,0.77593,1.14118,0.0014786,0.0014786,0.0014786
81,159.776,0.97877,2.01014,0.92515,1.13823,0.9955,0.85714,0.93195,0.65008,0.89748,1,0.98567,0.60382,1.10299,1.8558,0.85716,1.10013,0.001472,0.001472,0.001472
82,161.253,0.92911,1.86523,0.96339,1.12192,1,0.82135,0.92062,0.63025,0.86826,0.94224,0.9775,0.57951,1.19248,1.76767,0.93791,1.20418,0.0014654,0.0014654,0.0014654
83,162.663,1.06782,1.98098,0.93605,1.15846,0.81106,0.92034,0.90413,0.57109,0.87363,0.98823,0.9775,0.55505,1.2964,1.69515,1.02855,1.27889,0.0014588,0.0014588,0.0014588
84,164.23,0.9585,1.85738,0.88696,1.08408,0.8109,1,0.96793,0.6288,0.8109,1,0.96793,0.58773,1.17536,1.89141,0.98264,1.20669,0.0014522,0.0014522,0.0014522
85,165.696,0.98691,1.83647,0.90405,1.08809,0.87594,0.92857,0.97625,0.64785,0.87594,0.92857,0.97625,0.5807,1.11183,1.93082,1.03046,1.1681,0.0014456,0.0014456,0.0014456
86,167.041,0.9294,1.79286,0.84049,1.06299,0.91046,0.92857,0.98265,0.65648,0.91046,0.92857,0.98265,0.59767,1.08875,1.89712,1.11977,1.15413,0.001439,0.001439,0.001439
87,168.483,0.98872,1.85816,0.86098,1.08646,0.83006,0.92857,0.92815,0.58922,0.86382,1,0.97125,0.55942,1.14846,1.82232,1.24503,1.19912,0.0014324,0.0014324,0.0014324
88,169.965,0.98918,1.77961,0.90737,1.13647,0.7414,0.85714,0.87414,0.53784,0.80344,0.92857,0.92932,0.51042,1.12574,1.8516,1.43132,1.22493,0.0014258,0.0014258,0.0014258
89,171.395,1.00546,1.76691,0.85322,1.08629,0.84175,0.92857,0.93218,0.57155,0.84175,0.92857,0.93218,0.53561,1.1094,1.74708,1.15662,1.18985,0.0014192,0.0014192,0.0014192
90,172.872,0.9644,1.88441,0.94285,1.07424,0.85392,0.8362,0.9055,0.63154,0.85392,0.8362,0.9055,0.5592,1.08388,1.64584,0.97867,1.15807,0.0014126,0.0014126,0.0014126
91,174.202,1.03586,1.91769,0.90849,1.11725,0.9023,0.71429,0.86438,0.65846,0.97473,0.78571,0.93639,0.61211,1.0802,1.55993,0.89703,1.16506,0.001406,0.001406,0.001406
92,175.601,0.96615,1.8022,0.83917,1.06687,0.8548,0.85714,0.87452,0.68835,0.96756,0.92857,0.95661,0.64449,1.01751,1.59061,0.87523,1.14907,0.0013994,0.0013994,0.0013994
